Sam Houston to J. Pinckney Henderson, December 31 1836
James Webb to Alc6e La Branche, May 27 1839
David G. Burnet to Richard G. Dunlap, June 3 1839
Nathaniel Amory to Richard G. Dunlap, July 24 1839
David G. Burnet to Richard G. Dunlap, August 19 1839
T. Dunlap to Richard G. Dunlap, September 28 1839
Nathaniel Amory to Richard G. Dunlap, October 25 1839
John Emberson to Albert Sidney Johnston, September 2 1839
David G. Burnet to Alc6e La Branche, November 29 1839
David G. Burnet to Alc6e La Branche, December 3 1839
David G. Burnet to Alc^ La Branche, December 7 1839
William Scurlock to David G. Burnet, November 30 1839
William M. Williams to David G. Burnet, November 30 1839
D. Rowlett to David G. Bumet, undated 61 
David G. Bumet to Alc6e La Branche, December 16 1839
David G. Bumet to Alc^ La Branche, December 17 1839
David G. Bumet to Alc^e La Branche, December 20 1839
D. Rowlett to David G. Bumet, January 5 1840
David G. Bumet to Richard G. Dunlap, January 20 1840
Abner S. Lipscomb to Alc^ La Branche, April 1 1840
Joseph Waplee to Barnard E. Bee, September 19 1840
Abner S. Lipscomb to Geo. H. Flood, December 13 1840
Joseph Waplee to Nathaniel Amory, January 5 1841
Joseph Waples to Geo. H. Flood, January 28 1841
Joseph Waplee to Geo. H. Flood, February 2 1841
Joseph Waples to Geo. H. Flood, February 3 1841
James S. Mayfield to Geo. H. Flood, February 12 1841
James S. Mayfield to Barnard E. Bee, February 17 1841
James S. Mayfield to Barnard E. Bee, March 22 1841
Geo. H. Flood to Jamee S. Mayfield, March 25 1841
James S. Mayfield to Geo. H. Flood, March 29 1841
Geo. H. Flood to James S. Mayfield, March 31 1841
James S. Mayfield to Barnard E. Bee, April 20 1841
James S. Mayfield to Nathaniel Amory, April 24 1841
Samuel A. Roberta to Barnard E. Bee, June 21 1841
Samuel A. Roberts to Barnard E. Bee, July 8 1841
Samuel A. Roberta to Joseph Eve, August 11 1841
Samuel A. Roberta to Joseph Eve, August 17 1841
Samuel A. Roberts to Barnard E. Bee, September 7 1841
Sam Houston to Joseph Eve, July 30 1842
Sam Houston to A. B. Roman, September 12 1842
Sam Houston to A. B. Roman, October 29 1842
Isaac Van Zandt to Anson Jones, January 11 1843
Joseph Eve to Anson Jones, January 11 1843
Isaac Van Zandt to Anson Jones, January 20 1843
J. C. Spencer to Isaac Van Zandt, January 17 1843
T. Hartley Crawford to Wm. Armstrong, January 12 1843
